company,date,year,month,close
VNM,2023-05-01,2023,5,53626.0
VNM,2023-06-01,2023,6,57601.0
VNM,2023-07-01,2023,7,63280.0
VNM,2023-08-01,2023,8,65218.0
VNM,2023-09-01,2023,9,62200.0
VNM,2023-10-01,2023,10,57003.0
VNM,2023-11-01,2023,11,56500.0
VNM,2023-12-01,2023,12,57090.0
VNM,2024-01-01,2024,1,56583.0
VNM,2024-02-01,2024,2,60806.0
VNM,2024-03-01,2024,3,57830.0
VNM,2024-04-01,2024,4,55606.0
VNM,2024-05-01,2024,5,55948.0
VNM,2024-06-01,2024,6,56034.0
VNM,2024-07-01,2024,7,61252.0
VNM,2024-08-01,2024,8,63220.0
VNM,2024-09-01,2024,9,62054.0
VNM,2024-10-01,2024,10,58513.0
VNM,2024-11-01,2024,11,57185.0
VNM,2024-12-01,2024,12,56564.0
VNM,2025-01-01,2025,1,55493.0
VNM,2025-02-01,2025,2,55493.0
VNM,2025-03-01,2025,3,54066.0
VNM,2025-04-01,2025,4,51389.0
VNM,2025-05-01,2025,5,50778.0
VNM,2025-06-01,2025,6,53645.0
VNM,2025-07-01,2025,7,56605.0
VNM,2025-08-01,2025,8,55773.0
VNM,2025-09-01,2025,9,55495.0
VNM,2025-10-01,2025,10,55774.0
VNM,2025-11-01,2025,11,61971.0
VNM,2025-12-01,2025,12,59260.0
